ID,productname,price
1,Merc Clothing,73.78
2,Cherokee Inc.,78.33
3,Converse,74.75
4,Angels Jeanswear,16.21
5,Izod,81.02
6,Calvin Klein,49.37
7,Nudie Jeans,83.33
8,Cherokee Inc.,92.56
9,Loyandford,18.88
10,Converse,20.7
11,Baby Gap,85.55
12,Ethika,28.76
13,Converse,51.16
14,Cherokee Inc.,34.99
15,Koton,6.76
16,Mohito,43.41
17,Max Studio,6.61
18,Cross Colours,57.45
19,Guess,25.8
20,Calvin Klein,23.63
21,Ethika,5.57
22,Brooks Brothers,74.27
23,Hamilton Shirts,66.57
24,Real Gold,26.98
25,Koton,72.51
26,SABA,39.91
27,Mossimo,6.73
28,Old Navy,69.14
29,Izod,82.29
30,Izod,35.03
31,Ecko Unlimited,79.29
32,Dollie & Me,16.31
33,Koalapop,19.29
34,Mataano,71.75
35,Lee,8.78
36,Healthtex,67.84
37,Columbia Sportswear,80.85
38,Ex-Boyfriend,44.18
39,Ex-Boyfriend,98.32
40,Koalapop,96.91
41,Converse,58.33
42,Dollie & Me,33.45
43,Baby Gap,69.59
44,Koton,91.21
45,TNT,35.32
46,Converse,63.64
47,Loyandford,48.16
48,Ethika,20.53
49,Countess Mara,11.36
50,Acorn Stores,65.13
51,Converse,99.19
52,Levis,52.13
53,Koalapop,34.74
54,SABA,94.97
55,Lilli Ann,74.88
56,Healthtex,31.1
57,Cross Colours,92.37
58,Hamilton Shirts,11.5
59,Avirex,55.41
60,Merc Clothing,39.24
61,Izod,60.05
62,Ethika,25.92
63,Andrew Marc,27.82
64,Rip Curl,57.3
65,Marchesa,7.52
66,Rip Curl,24.43
67,H&M,56.78
68,Lilli Ann,27.72
69,Six Deuce,34.93
70,Baby Gap,65.97
71,C&A,64.95
72,Mataano,27.36
73,Columbia Sportswear,80.51
74,Ecko Unlimited,63.05
75,Nudie Jeans,70.36
76,Bujo,77.04
77,Nice Collective,57.33
78,Nice Collective,18.82
79,Ethika,84.34
80,SABA,71.91
81,Converse,36.6
82,Lee,48.93
83,Mohito,44.79
84,Countess Mara,30.41
85,Marchesa,70.92
86,C&A,97.56
87,Mohito,71.54
88,Ex-Boyfriend,72.08
89,Healthtex,76.48
90,Guess,8.41
91,Tommy Hilfinger,61.09
92,TNT,97.29
93,Ethika,46.23
94,Koalapop,72.36
95,Lilli Ann,81.29
96,Columbia Sportswear,10.45
97,Ex-Boyfriend,73.86
98,Merc Clothing,97
99,Loyandford,14.61
100,Forever 21,25.7
